eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
Public;0.8902;0.2353;1.8909;0;1.4905;
Secret;3.7235;2.8143;5.8659;0;8.7271;
Good;0.0075;2.6535;0.231;0;0.5267;
Neutral;0.0525;18.5742;1.617;0;3.6871;
Blue Eyes;0.9791;4.4967;5.0769;0;0.4465;
Brown Eyes;1.4557;13.9243;0;0;1.2009;
Gold Eyes;1.3996;0.3485;16.1658;25;2.7728;
Green Eyes;22.2203;0.5289;1.6379;0;0.0196;
Grey Eyes;0.1574;0.1297;0.3955;0;1.4239;
Hazel Eyes;0.0645;0.5672;3.6826;0;12.8159;
Yellow Eyes;1.3996;0.3485;16.1658;25;2.7728;
Auburn;2.8308;0.274;0.7382;0;1.6341;
Bald;0.1511;2.946;1.0223;0;13.3745;
Black;2.3562;0.6619;4.5309;0;0.8629;
Blond;0.3262;6.8004;3.3472;0;0.0169;
Blue;1.3887;0.4109;13.6773;25;4.3583;
Brown;0.1383;10.1349;1.2055;0;10.303;
Grey;0.7407;0.8044;0.2114;0;0.6111;
No;1.3887;0.4109;13.6773;25;4.3583;
Red;17.5951;0.8517;0.7525;0;0.0079;
White;0.0563;0.0085;0.7715;0;0.0317;
Female;13.4762;0.9951;0.0157;0;3.7683;
Male;6.3835;0.4714;0.0074;0;1.785;
Bisexual Characters;12.6762;0.0997;1.2079;0;0.0642;
Unspecified;0.2305;0.0018;0.022;0;0.0012;
Deceased;1.8927;6.7701;0.6785;0;7.9108;
Living;0.1071;0.3832;0.0384;0;0.4478;
DC;3.4348;6.9792;3.253;0;7.3864;
Marvel;1.4972;3.0422;1.418;0;3.2197;

cos2
   ;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;
No Dual;0.0265;0.3102;0.0148;0;0.0747;
Public;0.0491;0.0112;0.082;0;0.0572;
Secret;0.1263;0.0823;0.1566;0;0.206;
Good;0.0014;0.4321;0.0344;0;0.0693;
Neutral;0.0014;0.4321;0.0344;0;0.0693;
Blue Eyes;0.0648;0.2563;0.2643;0;0.0206;
Brown Eyes;0.0401;0.3307;0;0;0.023;
Gold Eyes;0.0337;0.0072;0.306;0.4345;0.0464;
Green Eyes;0.6001;0.0123;0.0348;0;4e-04;
Grey Eyes;0.0038;0.0027;0.0075;0;0.0238;
Hazel Eyes;0.0016;0.012;0.071;0;0.2185;
Yellow Eyes;0.0337;0.0072;0.306;0.4345;0.0464;
Auburn;0.0694;0.0058;0.0142;0;0.0279;
Bald;0.0036;0.0611;0.0194;0;0.2239;
Black;0.076;0.0184;0.1151;0;0.0194;
Blond;0.0098;0.1762;0.0792;0;4e-04;
Blue;0.034;0.0087;0.2637;0.4426;0.0743;
Brown;0.0043;0.2687;0.0292;0;0.2206;
Grey;0.0178;0.0167;0.004;0;0.0102;
No;0.034;0.0087;0.2637;0.4426;0.0743;
Red;0.4565;0.019;0.0154;0;1e-04;
White;0.0014;2e-04;0.0152;0;6e-04;
Female;0.4693;0.0299;4e-04;0;0.0913;
Male;0.4693;0.0299;4e-04;0;0.0913;
Bisexual Characters;0.305;0.0021;0.0229;0;0.0011;
Unspecified;0.305;0.0021;0.0229;0;0.0011;
Deceased;0.0473;0.1456;0.0133;0;0.1374;
Living;0.0473;0.1456;0.0133;0;0.1374;
DC;0.1165;0.204;0.0868;0;0.1744;
Marvel;0.1165;0.204;0.0868;0;0.1744;

v.test
   ;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;
No Dual;1.2063;4.1304;-0.9018;0;2.0266;
Public;1.6431;-0.784;-2.1241;0;1.7734;
Secret;-2.6361;-2.1271;2.9348;0;-3.3664;
Good;0.2794;-4.8752;1.3747;0;-1.9521;
Neutral;-0.2794;4.8752;-1.3747;0;1.9521;
Blue Eyes;-1.8876;-3.7546;-3.8127;0;1.0633;
Brown Eyes;-1.4857;4.2648;0.0026;0;-1.1256;
Gold Eyes;-1.3609;-0.6303;4.1026;4.8887;1.5979;
Green Eyes;5.745;0.8227;1.3835;0;-0.1424;
Grey Eyes;-0.4564;0.3846;-0.6417;0;1.145;
Hazel Eyes;-0.2949;0.8115;1.9762;0;-3.4669;
Yellow Eyes;-1.3609;-0.6303;4.1026;-4.8887;1.5979;
Auburn;1.9533;-0.564;0.8848;0;-1.2379;
Bald;0.4472;-1.8326;-1.0317;0;3.5093;
Black;-2.0451;1.0061;-2.5156;0;1.0324;
Blond;-0.7346;-3.113;-2.0872;0;-0.1394;
Blue;-1.3681;-0.6907;3.8085;-4.9338;2.0217;
Brown;-0.4838;3.8442;1.267;0;-3.4834;
Grey;0.99;0.9576;-0.4691;0;0.7501;
No;-1.3681;-0.6907;3.8085;4.9338;2.0217;
Red;5.011;-1.0233;0.9192;0;0.0885;
White;-0.278;-0.1001;-0.913;0;-0.1742;
Female;5.0805;-1.2814;0.1537;0;-2.241;
Male;-5.0805;1.2814;-0.1537;0;2.241;
Bisexual Characters;4.0957;-0.3372;1.1214;0;-0.2431;
Unspecified;-4.0957;0.3372;-1.1214;0;0.2431;
